"ID";"NOME";"ANO";"ID_GENERO"
1;"Far Cry 6";2021;1
2;"Halo Infinite";2021;1
3;"Metroid Dread";2021;2
4;"It Takes Two";2021;2
5;"Resident Evil: Resistance";2020;3
6;"Silent Hill 2";2001;3
7;"Call of Duty: Black Ops II";2012;4
8;"Battlefield 3";2011;4
9;"World of Warcraft";2004;5
10;"The Witcher 3: Wild Hunt";2015;5
11;"Dota 2";2013;6
12;"League of Legends";2009;6
